migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0029_user_actions.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0030_history_slug_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0030_history_slug_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0031_community_and_workflow_tags.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0031_community_and_workflow_tags.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Loading script lib/galaxy/model/migrate/versions/0032_stored_workflow_slug_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,519 Script lib/galaxy/model/migrate/versions/0032_stored_workflow_slug_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0033_published_cols_for_histories_and_workflows.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0033_published_cols_for_histories_and_workflows.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0034_page_user_share_association.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0034_page_user_share_association.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0035_item_annotations_and_workflow_step_tags.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0035_item_annotations_and_workflow_step_tags.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0036_add_deleted_column_to_library_template_assoc_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0036_add_deleted_column_to_library_template_assoc_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0037_samples_library.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0037_samples_library.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0038_add_inheritable_column_to_library_template_assoc_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0038_add_inheritable_column_to_library_template_assoc_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0039_add_synopsis_column_to_library_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0039_add_synopsis_column_to_library_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0040_page_annotations.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0040_page_annotations.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0041_workflow_invocation.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0041_workflow_invocation.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Loading script lib/galaxy/model/migrate/versions/0042_workflow_invocation_fix.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,520 Script lib/galaxy/model/migrate/versions/0042_workflow_invocation_fix.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0043_visualization_sharing_tagging_annotating.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0043_visualization_sharing_tagging_annotating.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0044_add_notify_column_to_request_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0044_add_notify_column_to_request_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0045_request_type_permissions_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0045_request_type_permissions_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0046_post_job_actions.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0046_post_job_actions.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0047_job_table_user_id_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0047_job_table_user_id_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0048_dataset_instance_state_column.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0048_dataset_instance_state_column.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0049_api_keys_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0049_api_keys_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0050_drop_cloud_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0050_drop_cloud_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0051_imported_col_for_jobs_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0051_imported_col_for_jobs_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Loading script lib/galaxy/model/migrate/versions/0052_sample_dataset_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,521 Script lib/galaxy/model/migrate/versions/0052_sample_dataset_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0053_item_ratings.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0053_item_ratings.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0054_visualization_dbkey.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0054_visualization_dbkey.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0055_add_pja_assoc_for_jobs.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0055_add_pja_assoc_for_jobs.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0056_workflow_outputs.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0056_workflow_outputs.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0057_request_notify.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0057_request_notify.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0058_history_import_export.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0058_history_import_export.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0059_sample_dataset_file_path.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0059_sample_dataset_file_path.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0060_history_archive_import.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0060_history_archive_import.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0061_tasks.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0061_tasks.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Loading script lib/galaxy/model/migrate/versions/0062_user_openid_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,522 Script lib/galaxy/model/migrate/versions/0062_user_openid_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0063_sequencer_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0063_sequencer_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0064_add_run_and_sample_run_association_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0064_add_run_and_sample_run_association_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0065_add_name_to_form_fields_and_values.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0065_add_name_to_form_fields_and_values.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0066_deferred_job_and_transfer_job_tables.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0066_deferred_job_and_transfer_job_tables.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0067_populate_sequencer_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0067_populate_sequencer_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0068_rename_sequencer_to_external_services.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0068_rename_sequencer_to_external_services.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0069_rename_sequencer_form_type.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0069_rename_sequencer_form_type.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0070_add_info_column_to_deferred_job_table.py...
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Script lib/galaxy/model/migrate/versions/0070_add_info_column_to_deferred_job_table.py loaded successfully
migrate.versioning.script.base DEBUG 2015-05-19 16:54:06,523 Loading script lib/galaxy/model/migrate/versions/0071_add_history_and_workflow_to_sample.py...
